"sigA","sigB","topo","envfilt","stat","summary","Beta_a","S_a","Stot_a","Beta_b","S_b","Stot_b","Cor_ab","N","Ntot"
"0.25","0.25","one2many","none","50%","var",5.70363917430203e-05,0.0436805555555555,0,1.96426913259361e-05,0.00191666666666666,0,0.0415179593978633,0.199458333333334,79.7833333333333
"0.25","0.25","one2many","none","97.5%","mean",1.04608249370931,28.9255,30,1.01221378759451,10,10,0.402527213842513,95.532875,1910.6575
"0.25","0.25","one2many","none","97.5%","var",0.000123284454735722,0.0933479166666668,0,7.35210666171415e-05,0.00701874999999998,0,0.0774810964503079,0.438155555555554,175.262222222222
"0.25","0.25","one2many","none","mean","mean",1.04221594155517,28.78645,30,1.0049263120492,9.9513,10,0.265267423365939,95.24465,1904.893
"0.25","0.25","one2many","none","mean","var",6.10896092176002e-05,0.0465113888888889,0,2.30686579129247e-05,0.00222722222222222,0,0.0483197287259779,0.214614722222222,85.8458888888889
"0.25","0.25","one2many","none","var","mean",6.58867195013828e-06,0.00502388636363636,0,1.22301234861578e-05,0.00118566666666666,0,0.013491789318296,0.0183693207070706,7.34772828282825
"0.25","0.25","one2many","none","var","var",7.00285836385894e-10,0.000402377012330092,0,3.81479570320785e-10,3.46126979673272e-06,0,0.00035315501180718,0.00838533335913147,1341.65333746103
"0.25","0.25","one2many","opposite","2.5%","mean",2.53678653499888,5.27175,27.195,1.82394845838817,2.510375,9.1475,0.820924587504717,63.065875,1261.3175
"0.25","0.25","one2many","opposite","2.5%","var",0.0018889758847099,0.0115006944444444,0,0.00087736981656774,0.00417291666666665,0,1.44343475043336e-05,0.0783770833333335,31.3508333333333
"0.25","0.25","one2many","opposite","50%","mean",3.48066211826519,8.475,30,2.55310701271591,3.9075,10,0.945598031919853,81.1525,1623.05
"0.25","0.25","one2many","opposite","50%","var",0.0103757660369562,0.0517361111111112,0,0.00592831926163739,0.0120694444444444,0,0.000101132655949865,5.082125,2032.85
"0.25","0.25","one2many","opposite","97.5%","mean",5.45173654635399,11.834125,30,3.97449156804904,5.366375,10,0.980988463932432,94.517625,1890.3525
"0.25","0.25","one2many","opposite","97.5%","var",0.0644188011726346,0.143805555555556,0.9175,0.0419518089191241,0.0261888888888889,0.233333333333333,0.000766735208468898,28.7164305555555,11486.5722222222
"0.25","0.25","one2many","opposite","mean","mean",3.61664560455245,8.51005,29.586,2.59205441465193,3.97555,9.94,0.930986447347642,80.67105,1613.421
"0.25","0.25","one2many","opposite","mean","var",0.0160274296742812,0.0608102777777778,0.127333333333333,0.00867951822002394,0.0128747222222222,0.0175555555555556,0.000179909067077849,6.67186638888889,2668.74655555556
"0.25","0.25","one2many","opposite","var","mean",0.540063640602772,2.76411843181818,0.58990303030303,0.260239431960595,0.538522674242424,0.041010101010101,0.00339382405600145,63.5492976237374,25419.719049495
"0.25","0.25","one2many","opposite","var","var",0.000419031315438722,0.00152189113441514,0.0803801471505175,0.000115119051035687,3.49556599170719e-05,0.00304322234692605,6.14456805022243e-08,55.1410537915372,8822568.60664595
"0.25","0.25","one2many","same","2.5%","mean",2.07601655261975,7.18275,24.98,1.65760671811107,3.340625,9,0.907555225461679,67.884375,1357.6875
"0.25","0.25","one2many","same","2.5%","var",0.00102854976763921,0.0152479166666666,0,0.000260537246130765,0.00243333333333332,0,5.93682800550696e-06,0.0961111111111112,38.4444444444444
"0.25","0.25","one2many","same","50%","mean",2.66279671821624,10.6425,28.15,2.06175325154395,4.76,10,0.970218522535923,85.36,1707.2
"0.25","0.25","one2many","same","50%","var",0.00489980494915146,0.0478472222222223,0.272222222222222,0.00211210051139565,0.00979166666666666,0,5.46243524897804e-05,3.59284722222222,1437.13888888889
"0.25","0.25","one2many","same","97.5%","mean",3.87811844112917,13.85975,29.9525,2.85637721397031,6.035,10,0.989438551281147,95.2115,1904.23
"0.25","0.25","one2many","same","97.5%","var",0.022343852516113,0.109025,1.59361111111111,0.010878936407088,0.0257555555555555,0.177777777777778,0.000380030451657129,17.2445833333333,6897.83333333333
"0.25","0.25","one2many","same","mean","mean",2.74051100394157,10.51385,28.017,2.15075313152896,4.70775,9.86,0.963621933124282,83.41205,1668.241
"0.25","0.25","one2many","same","mean","var",0.00732153932673274,0.0540047222222222,0.445222222222222,0.00319539511822057,0.0107825,0.018,8.62499391724685e-05,4.25670972222222,1702.68388888889
"0.25","0.25","one2many","same","var","mean",0.221784140684822,3.23722366414141,1.63839494949495,0.130756211626614,0.584700189393939,0.117373737373737,0.000477867193037533,54.414872270202,21765.9489080808
"0.25","0.25","one2many","same","var","var",7.0963588105439e-05,0.00069552579896184,0.250163998004739,1.30951040877448e-05,3.89776944600324e-05,0.00322678638234194,9.49590095328779e-09,22.5285351064873,3604565.61703797
"0.25","0.25","one2one","all","2.5%","mean",5.64037827727373,1.185625,11.79,5.64037827727373,1.185625,11.79,1,35.85,717
"0.25","0.25","one2one","all","2.5%","var",0.0479526295288368,0.00309444444444444,0.2275,0.0479526295288368,0.00309444444444444,0.2275,0,0.117509027777777,47.0036111111111
"0.25","0.25","one2one","all","50%","mean",8.14933542748443,2.2,17.8,8.14933542748443,2.2,17.8,1,56.2625,1125.25
"0.25","0.25","one2one","all","50%","var",0.197039930035853,0.0120555555555556,0.933333333333333,0.197039930035853,0.0120555555555556,0.933333333333333,6.16297582203915e-33,7.778625,3111.45
"0.25","0.25","one2one","all","97.5%","mean",11.4732590801226,3.560875,22.93,11.4732590801226,3.560875,22.93,1,79.63775,1592.755
"0.25","0.25","one2one","all","97.5%","var",0.815662969520877,0.0450145833333333,2.49694444444444,0.815662969520877,0.0450145833333333,2.49694444444444,1.36955018267537e-32,26.5027395833333,10601.0958333333
"0.25","0.25","one2one","all","mean","mean",8.0939160470458,2.26895,17.447,8.0939160470458,2.26895,17.447,1,56.8716,1137.432
"0.25","0.25","one2one","all","mean","var",0.253831654643991,0.0144513888888889,1.09344444444444,0.253831654643991,0.0144513888888889,1.09344444444444,6.51905886953475e-33,9.75831777777778,3903.32711111111
"0.25","0.25","one2one","all","var","mean",2.541690164172,0.435502169191919,7.06776868686869,2.541690164172,0.435502169191919,7.06776868686869,1.74306386885956e-33,140.938775191919,56375.5100767677
"0.25","0.25","one2one","all","var","var",0.039508627664149,0.000101165752821424,0.431026549445068,0.039508627664149,0.000101165752821424,0.431026549445068,2.01253460676012e-65,50.0851607292418,8013625.71667869
"0.25","0.25","one2one","none","2.5%","mean",1.03771284397008,28.65975,30,1.03771284397008,28.65975,30,1,94.93,1898.6
