"sigA","sigB","topo","envfilt","stat","summary","env","measure","cor_a","cor_b"
"0.25","0.25","many2many","all","2.5%","var",2,"rda",3.21465341299141e-06,3.93677681608018e-06
"0.25","0.25","many2many","all","50%","var",2,"rda",5.92123576165585e-05,0.000112558157488126
"0.25","0.25","many2many","all","97.5%","var",2,"rda",0.000676314289551882,0.0012024885752436
"0.25","0.25","many2many","all","mean","var",2,"rda",0.000142508705382687,0.000248445741242166
"0.25","0.25","many2many","all","var","var",2,"rda",3.91190043542235e-08,1.03424111198816e-07
"0.25","0.25","many2many","all","2.5%","mean",2,"S",-0.397183956091174,-0.403153176473557
"0.25","0.25","many2many","all","50%","mean",2,"S",0.0249869585388386,0.039353860048739
"0.25","0.25","many2many","all","97.5%","mean",2,"S",0.445598391014287,0.469243894508766
"0.25","0.25","many2many","all","mean","mean",2,"S",0.0283921283711699,0.032395169219717
"0.25","0.25","many2many","all","var","mean",2,"S",0.0543252943496057,0.0600800583188894
"0.25","0.25","many2many","all","2.5%","var",2,"S",0.000116498837583784,0.000163979125515282
"0.25","0.25","many2many","all","50%","var",2,"S",0.000656653737569475,0.000956411536745038
"0.25","0.25","many2many","all","97.5%","var",2,"S",0.00217153778018248,0.00322720620642796
"0.25","0.25","many2many","all","mean","var",2,"S",0.000792219858967443,0.00116136519821929
"0.25","0.25","many2many","all","var","var",2,"S",3.11031308376073e-07,6.99585698061371e-07
"0.25","0.25","many2many","none","2.5%","mean",1,"jaccard",-0.0859365395901648,-0.0576755637012197
"0.25","0.25","many2many","none","50%","mean",1,"jaccard",0.00728581086814928,-0.0207396460425319
"0.25","0.25","many2many","none","97.5%","mean",1,"jaccard",0.0920547849609603,0.0509695876893883
"0.25","0.25","many2many","none","mean","mean",1,"jaccard",0.00694816607668905,-0.00853848250806443
"0.25","0.25","many2many","none","var","mean",1,"jaccard",0.00196505671111743,0.00338139337698922
"0.25","0.25","many2many","none","2.5%","var",1,"jaccard",0.0050574578503464,0.00549657180639005
"0.25","0.25","many2many","none","50%","var",1,"jaccard",0.0145930514164135,0.00690018651947575
"0.25","0.25","many2many","none","97.5%","var",1,"jaccard",0.0379301124562204,0.0302299899489676
"0.25","0.25","many2many","none","mean","var",1,"jaccard",0.0169190895640069,0.014593586069092
"0.25","0.25","many2many","none","var","var",1,"jaccard",8.8142828230475e-05,0.000213848907726151
"0.25","0.25","many2many","none","2.5%","mean",1,"N",-0.16566842157732,-0.16566842157732
"0.25","0.25","many2many","none","50%","mean",1,"N",0.00241234085066636,0.00241234085066636
"0.25","0.25","many2many","none","97.5%","mean",1,"N",0.150694904251264,0.150694904251264
"0.25","0.25","many2many","none","mean","mean",1,"N",0.00773790207997297,0.00773790207997297
"0.25","0.25","many2many","none","var","mean",1,"N",0.00674766062559694,0.00674766062559694
"0.25","0.25","many2many","none","2.5%","var",1,"N",0.0204744372886304,0.0204744372886304
"0.25","0.25","many2many","none","50%","var",1,"N",0.0475671512301942,0.0475671512301942
"0.25","0.25","many2many","none","97.5%","var",1,"N",0.109441669902882,0.109441669902882
"0.25","0.25","many2many","none","mean","var",1,"N",0.0542164046041968,0.0542164046041968
"0.25","0.25","many2many","none","var","var",1,"N",0.0005136399415953,0.0005136399415953
"0.25","0.25","many2many","none","2.5%","mean",1,"rda",0.04293121172932,0.0386439898870747
"0.25","0.25","many2many","none","50%","mean",1,"rda",0.0537917970117412,0.0535833304239522
"0.25","0.25","many2many","none","97.5%","mean",1,"rda",0.0641295177757234,0.0642297484806063
"0.25","0.25","many2many","none","mean","mean",1,"rda",0.0538516162129173,0.0520770418344001
"0.25","0.25","many2many","none","var","mean",1,"rda",3.475159762769e-05,0.000183039917990826
"0.25","0.25","many2many","none","2.5%","var",1,"rda",8.71927183938148e-05,0.00187969635395185
"0.25","0.25","many2many","none","50%","var",1,"rda",0.000348336686360026,0.00384055164044776
