"sigA","sigB","topo","envfilt","stat","summary","Beta_a","S_a","Stot_a","Beta_b","S_b","Stot_b","Cor_ab","N","Ntot"
"0.25","0.25","many2many","none","97.5%","var",0.000382795094762222,0.219899305555556,0,3.52182437262365e-05,0.00341944444444444,0,0.0380402161529357,0.413704861111112,165.481944444444
"0.25","0.25","many2many","none","mean","mean",1.09590452763004,27.3811,30,1.00180075648584,9.9822,10,-0.0178447562893311,95.25815,1905.163
"0.25","0.25","many2many","none","mean","var",0.000164856555079968,0.102055555555556,0,8.82708522931038e-06,0.00084833333333334,0,0.0369537800898243,0.211054166666667,84.4216666666667
"0.25","0.25","many2many","none","var","mean",0.000137701628836644,0.0847250404040405,0,1.01431716915893e-05,0.000959252525252525,0,0.00104702062540662,0.0197094217171716,7.88376868686865
"0.25","0.25","many2many","none","var","var",7.2007958940322e-09,0.00251546411647338,0,4.1884772599933e-10,3.4091909839132e-06,0,2.61571926698914e-06,0.0086927683840722,1390.84294145155
"0.25","0.25","many2many","opposite","2.5%","mean",1.69271453440135,12.081375,29.7475,1.53241400204646,3.677375,10,-0.219645229985413,86.387375,1727.7475
"0.25","0.25","many2many","opposite","2.5%","var",0.000302993113201604,0.0214916666666667,0,0.000448206996719287,0.00378124999999999,0,0.000887549397604697,0.0628222222222212,25.1288888888889
"0.25","0.25","many2many","opposite","50%","mean",2.04004112359972,14.71,30,2.06775201333967,4.8375,10,0.30020872388134,95.055,1901.1
"0.25","0.25","many2many","opposite","50%","var",0.00109904035680886,0.0596944444444445,0,0.00223631291850576,0.012,0,0.00337637592369685,0.268958333333334,107.583333333333
"0.25","0.25","many2many","opposite","97.5%","mean",2.4843688792403,17.726875,30,2.72457085734014,6.528125,10,0.671265149853983,95.4655,1909.31
"0.25","0.25","many2many","opposite","97.5%","var",0.00259358893410002,0.106036805555555,0.206944444444444,0.0105192578653401,0.0347493055555556,0,0.0106217744954552,11.12675,4450.7
"0.25","0.25","many2many","opposite","mean","mean",2.06320975964389,14.68765,29.985,2.0746120445068,4.92225,9.999,0.277131257050298,93.29735,1865.947
"0.25","0.25","many2many","opposite","mean","var",0.00124488456240445,0.0596936111111111,0.0121111111111111,0.0030339913176277,0.0142480555555556,0.001,0.00404013227387011,1.72878361111111,691.513444444444
"0.25","0.25","many2many","opposite","var","mean",0.0443926223224138,2.26290477525253,0.00391414141414142,0.0881134083441808,0.52180220959596,9.99999999999993e-05,0.0555441974176362,7.19585376515152,2878.34150606061
"0.25","0.25","many2many","opposite","var","var",4.14002826173903e-07,0.000656216695582367,0.00229229330340441,8.06149204388736e-06,6.8459303762938e-05,1e-04,7.1841087809234e-06,9.4814817917492,1517037.08667987
"0.25","0.25","many2many","same","2.5%","mean",1.74394811038115,12.092125,29.2475,1.4147148244513,4.034375,9.6,0.54079940872056,81.192625,1623.8525
"0.25","0.25","many2many","same","2.5%","var",0.000309157541031196,0.0166972222222222,0,0.000375025700171441,0.00476666666666665,0,6.69016741139851e-05,0.0704826388888883,28.1930555555556
"0.25","0.25","many2many","same","50%","mean",2.10871611300989,14.23,30,1.80896022369323,5.4875,10,0.896073593502718,92.3625,1847.25
"0.25","0.25","many2many","same","50%","var",0.00118920486075169,0.0516805555555557,0,0.00131459538678105,0.0117916666666667,0,0.000434173523692134,0.414291666666666,165.716666666667
"0.25","0.25","many2many","same","97.5%","mean",2.48145664727359,17.206,30,2.42828241531506,7.071125,10,0.96441873992049,95.40075,1908.015
"0.25","0.25","many2many","same","97.5%","var",0.00358306823090632,0.119047916666667,0.206944444444444,0.00831261694486536,0.0263583333333333,0.224444444444444,0.00248399090359815,11.0812277777778,4432.49111111111
"0.25","0.25","many2many","same","mean","mean",2.10099934765749,14.38945,29.952,1.85557569520026,5.4829,9.97,0.85596213119202,91.49875,1829.975
"0.25","0.25","many2many","same","mean","var",0.00137905489040228,0.0571097222222222,0.0193333333333333,0.00208443996274379,0.0128477777777778,0.0137777777777778,0.000749864807623632,2.54370416666667,1017.48166666667
"0.25","0.25","many2many","same","var","mean",0.0415488053248891,1.86721964393939,0.0386828282828283,0.0696620409173404,0.609312717171717,0.0168686868686869,0.0138305017094269,16.3741385732323,6549.65542929293
"0.25","0.25","many2many","same","var","var",8.74098104570366e-07,0.000845097508651328,0.00472782142411772,6.35975078608641e-06,3.51074086544457e-05,0.00268641975308642,7.73929305669705e-07,10.6159189419562,1698547.03071299
"0.25","0.25","one2many","all","2.5%","mean",2.96519424098076,5.042625,26.795,3.14159018253398,1.059375,6.595,0.650300721328569,68.89925,1377.985
"0.25","0.25","one2many","all","2.5%","var",0.00207083531479179,0.00946041666666666,0,0.0159438580074661,0.00266666666666666,0,0.000176227455579025,0.111600694444444,44.6402777777778
"0.25","0.25","one2many","all","50%","mean",3.90155304324457,7.545,29.8,4.78386497174001,1.78,9,0.839535707802298,85.5075,1710.15
"0.25","0.25","one2many","all","50%","var",0.00869434238873669,0.0307916666666667,0.05,0.0866517725787222,0.00951388888888889,0.177777777777778,0.000855282264436381,5.053125,2021.25
"0.25","0.25","one2many","all","97.5%","mean",5.65263214837602,10.003,30,8.0377141943734,3.020875,10,0.931258331511388,94.755375,1895.1075
"0.25","0.25","one2many","all","97.5%","var",0.0560561744366063,0.0733888888888887,1.15555555555556,0.460719181883838,0.0239694444444444,0.695277777777778,0.0057743127297938,24.1229229166666,9649.16916666666
"0.25","0.25","one2many","all","mean","mean",3.99107742137131,7.57765,29.376,5.05404997475056,1.85215,8.815,0.82034494746569,84.04455,1680.891
"0.25","0.25","one2many","all","mean","var",0.0130349706274299,0.0321958333333333,0.200666666666667,0.13668136036606,0.0108063888888889,0.210555555555556,0.00138010788579859,6.57314194444444,2629.25677777778
"0.25","0.25","one2many","all","var","mean",0.475394418807629,1.6805623510101,0.802044444444445,1.59402493490085,0.243820330808081,0.904318181818182,0.00663292135892368,40.4740303510101,16189.612140404
"0.25","0.25","one2many","all","var","var",0.000225658211379388,0.000236982500545579,0.0917042524005487,0.0205966351245076,3.03329663143784e-05,0.0477625015587979,2.12235247249052e-06,42.175329713959,6748052.75423343
"0.25","0.25","one2many","none","2.5%","mean",1.03701042697475,28.665,30,1,9.86,10,0.08916418185367,95.00475,1900.095
"0.25","0.25","one2many","none","2.5%","var",2.01579799485997e-05,0.0155409722222223,0,0,0,0,0.0201974639064343,0.0824270833333337,32.9708333333333
"0.25","0.25","one2many","none","50%","mean",1.04179625627406,28.7975,30,1.00530179998078,9.9475,10,0.299959492200863,95.255,1905.1
"0.25","0.25","one2many","none","50%","var",6.37281596513967e-05,0.048611111111111,0,2.42668510571917e-05,0.00236111111111108,0,0.0338127455162481,0.213680555555556,85.4722222222222
"0.25","0.25","one2many","none","97.5%","mean",1.0466395243212,28.93025,30,1.01426659343169,10,10,0.385491010477872,95.523375,1910.4675
"0.25","0.25","one2many","none","97.5%","var",0.000143799088723843,0.108216666666667,0,8.77995161538322e-05,0.00833888888888887,0,0.0563360131201463,0.480854861111113,192.341944444444
"0.25","0.25","one2many","none","mean","mean",1.04180545628463,28.79795,30,1.00580473520727,9.9427,10,0.26529273833755,95.2562,1905.124
"0.25","0.25","one2many","none","mean","var",6.69295505825915e-05,0.0509575,0,2.96191289211482e-05,0.00284277777777777,0,0.0340578453393508,0.225099444444445,90.0397777777778
"0.25","0.25","one2many","none","var","mean",7.29895197692105e-06,0.00556216919191922,0,1.58015581711268e-05,0.00152344444444444,0,0.0114951646679431,0.019103090909091,7.64123636363636
"0.25","0.25","one2many","none","var","var",1.11952430803011e-09,0.000639232610908467,0,6.64850145170941e-10,5.86733414390818e-06,0,0.000188201727217525,0.0101026248625141,1616.41997800224
"0.25","0.25","one2many","opposite","2.5%","mean",1.5800241475932,12.603,29.9475,1.66974293935575,3.111375,9.4475,0.11525097422107,81.81825,1636.365
"0.25","0.25","one2many","opposite","2.5%","var",0.000265027362133874,0.018320138888889,0,0.000521216480262689,0.00304722222222222,0,0.000490844899616444,0.0828083333333327,33.1233333333333
"0.25","0.25","one2many","opposite","50%","mean",1.95566488074086,15.3425,30,2.2873070408612,4.3675,10,0.472677754099421,93.2525,1865.05
"0.25","0.25","one2many","opposite","50%","var",0.00064909565681872,0.0387916666666666,0,0.00391969438630997,0.014,0,0.00174036540838015,0.331472222222222,132.588888888889
"0.25","0.25","one2many","opposite","97.5%","mean",2.33933734929439,18.99325,30,3.21715727450414,5.99075,10,0.815708322346067,95.468125,1909.3625
"0.25","0.25","one2many","opposite","97.5%","var",0.00168386162467518,0.0813229166666666,0,0.0168455926176597,0.02963125,0.1,0.00541450087845546,12.0015166666666,4800.60666666665
"0.25","0.25","one2many","opposite","mean","mean",1.96862402681393,15.40305,29.979,2.31620160219599,4.4312,9.967,0.476470614804445,91.94915,1838.983
"0.25","0.25","one2many","opposite","mean","var",0.000734386740734473,0.0424397222222222,0.001,0.00484650528734769,0.01416,0.00944444444444444,0.00216214419324171,2.17746194444444,870.984777777778
"0.25","0.25","one2many","opposite","var","mean",0.0460766794767386,2.65436610858586,0.0198575757575758,0.159559194180705,0.573032888888889,0.0236474747474747,0.0343971473589291,15.2824151792929,6112.96607171717
"0.25","0.25","one2many","opposite","var","var",2.26247138379973e-07,0.000290167041635491,1e-04,1.56845664892093e-05,5.08721025065469e-05,0.00181163486719042,1.91928542359622e-06,11.3088082461912,1809409.31939058
"0.25","0.25","one2many","same","2.5%","mean",1.6133158836757,12.29175,30,1.51200497999774,3.272,9,0.607097600372237,85.37125,1707.425
"0.25","0.25","one2many","same","2.5%","var",0.000276908085159863,0.0161083333333334,0,0.000491677401592128,0.00488888888888888,0,6.57586501618512e-05,0.0825368055555547,33.0147222222222
"0.25","0.25","one2many","same","50%","mean",1.93924812160117,15.4725,30,2.00670815087497,4.89,10,0.899782758648996,94.4225,1888.45
"0.25","0.25","one2many","same","50%","var",0.000668955640154045,0.0414722222222222,0,0.00262926675773069,0.0140138888888889,0,0.000382435587612305,0.25713888888889,102.855555555556
"0.25","0.25","one2many","same","97.5%","mean",2.44127442624088,18.597625,30,3.01129554985715,6.556875,10,0.967910759157221,95.533375,1910.6675
"0.25","0.25","one2many","same","97.5%","var",0.00212957726904001,0.125319444444444,0,0.0213887778342491,0.0313159722222222,0.277777777777778,0.00216730116381993,9.24172777777775,3696.6911111111
"0.25","0.25","one2many","same","mean","mean",1.96518455193826,15.43805,29.994,2.0456886595319,4.94005,9.818,0.8751676945755,92.6001,1852.002
"0.25","0.25","one2many","same","mean","var",0.000825108205269058,0.0477675,0.00377777777777778,0.00517819453853691,0.0144802777777778,0.0455555555555556,0.000564328401854409,1.93483388888889,773.933555555556
"0.25","0.25","one2many","same","var","mean",0.045344935779323,2.63670600757576,0.00258989898989899,0.126880989609859,0.704829542929293,0.129167676767677,0.00880329167183276,11.3875954444444,4555.03817777778
"0.25","0.25","one2many","same","var","var",2.7952317995858e-07,0.00080676793638546,0.000865993265993266,7.78271136292882e-05,5.65378677983539e-05,0.0106310013717421,3.50293089871956e-07,7.85199370608835,1256318.99297414
"0.25","0.25","one2one","all","2.5%","mean",2.8897902163791,4.890375,26.5475,5.10600583201682,1.657125,14.1425,0.790450199423118,67.636875,1352.7375
"0.25","0.25","one2one","all","2.5%","var",0.00139291726374341,0.00499444444444443,0,0.0382032750147681,0.00690833333333332,0.277777777777778,0.000126995497984951,0.102194444444445,40.8777777777778
"0.25","0.25","one2one","all","50%","mean",3.73454631092017,7.825,29.9,6.78683261217245,3.005,20.7,0.890775798207083,85.39,1707.8
"0.25","0.25","one2one","all","50%","var",0.00822084873088375,0.02675,0.1,0.146077959998889,0.0233333333333333,1.31111111111111,0.000404947798744672,5.19201388888889,2076.80555555556
"0.25","0.25","one2one","all","97.5%","mean",5.57449101733772,10.103625,30,10.1077690566087,4.552875,25.0525,0.955282717331806,95.249375,1904.9875
"0.25","0.25","one2one","all","97.5%","var",0.0442967782400384,0.0748368055555555,0.695277777777778,0.669828737294378,0.0468006944444444,3.25472222222222,0.00121948149144449,25.6107,10244.28
"0.25","0.25","one2one","all","mean","mean",3.88136029178829,7.7777,29.3,7.01187729891767,3.0776,20.607,0.883887516147931,84.2443,1684.886
"0.25","0.25","one2one","all","mean","var",0.0113612582458847,0.0301016666666667,0.146222222222222,0.193593682525118,0.0238427777777778,1.39144444444444,0.000492629235586826,6.83376777777778,2733.50711111111
