"o","mra","mrb","stat","summary","env","measure","cor_a","cor_b"
"0.1","1","1","var","mean",2,"rda",0.00463108052773988,0.00358853834686126
"0.1","1","1","var","mean",2,"S",0.193269175682939,0.0852583164481676
"0.1","1","1","var","var",1,"jaccard",2.52861562235451e-06,2.28877831720982e-06
"0.1","1","1","var","var",1,"N",0.00049453730464563,0.00049453730464563
"0.1","1","1","var","var",1,"rda",1.00362972979012e-08,8.9564221625262e-07
"0.1","1","1","var","var",1,"S",5.10812957063291e-06,2.42183757406584e-05
"0.1","1","1","var","var",2,"jaccard",3.67278332403336e-07,2.93797117392503e-06
"0.1","1","1","var","var",2,"N",0.000610179274333461,0.000610179274333461
"0.1","1","1","var","var",2,"rda",2.24039969544389e-07,2.18775607330125e-07
"0.1","1","1","var","var",2,"S",5.22055421132718e-06,1.24908215292421e-05
"0.1","1","10","2.5%","mean",1,"jaccard",-0.200845640312548,0.326145422152286
"0.1","1","10","2.5%","mean",1,"N",-0.144514448217793,-0.144514448217793
"0.1","1","10","2.5%","mean",1,"rda",0.0220127661465657,0.129142722135394
"0.1","1","10","2.5%","mean",1,"S",-0.505634804651041,-0.760449733331484
"0.1","1","10","2.5%","mean",2,"jaccard",0.723426893075126,-0.0906448964293013
"0.1","1","10","2.5%","mean",2,"N",-0.110607246741431,-0.110607246741431
"0.1","1","10","2.5%","mean",2,"rda",0.251545487423363,0.0278648886662556
"0.1","1","10","2.5%","mean",2,"S",-0.819589440881015,-0.60088318786313
"0.1","1","10","2.5%","var",1,"jaccard",0.000213749385966022,0.000137487727135881
"0.1","1","10","2.5%","var",1,"N",0.0188105682467266,0.0188105682467266
"0.1","1","10","2.5%","var",1,"rda",1.98031405200606e-05,0.000217582485924526
"0.1","1","10","2.5%","var",1,"S",0.000424558690195375,0.000460415284137802
"0.1","1","10","2.5%","var",2,"jaccard",8.35229179337134e-05,0.000362725248641932
"0.1","1","10","2.5%","var",2,"N",0.0191986303553828,0.0191986303553828
"0.1","1","10","2.5%","var",2,"rda",0.000148074565251228,7.80660998853504e-05
"0.1","1","10","2.5%","var",2,"S",0.00025013276239059,0.000622219358720292
"0.1","1","10","50%","mean",1,"jaccard",-0.00633212747168999,0.676766280288841
"0.1","1","10","50%","mean",1,"N",-0.00678082699531271,-0.00678082699531271
"0.1","1","10","50%","mean",1,"rda",0.0466397901134468,0.323970630757749
"0.1","1","10","50%","mean",1,"S",0.0077510521632962,-0.0968213559331089
"0.1","1","10","50%","mean",2,"jaccard",0.852476255391359,0.216479136929571
"0.1","1","10","50%","mean",2,"N",0.00291256523204793,0.00291256523204793
"0.1","1","10","50%","mean",2,"rda",0.367865743324632,0.107294499173391
"0.1","1","10","50%","mean",2,"S",0.02204555849277,0.0235809835764223
"0.1","1","10","50%","var",1,"jaccard",0.000925720886236262,0.00130732854990539
"0.1","1","10","50%","var",1,"N",0.0499489421614086,0.0499489421614086
"0.1","1","10","50%","var",1,"rda",7.90089064049846e-05,0.00122908147324197
"0.1","1","10","50%","var",1,"S",0.00234732153184139,0.00314972146600943
"0.1","1","10","50%","var",2,"jaccard",0.000346649078142961,0.00174563194583325
"0.1","1","10","50%","var",2,"N",0.0526480277186964,0.0526480277186964
"0.1","1","10","50%","var",2,"rda",0.000590579659104396,0.000459388511845665
"0.1","1","10","50%","var",2,"S",0.00170257812827824,0.00302283189561799
"0.1","1","10","97.5%","mean",1,"jaccard",0.350561662846732,0.849963639339154
"0.1","1","10","97.5%","mean",1,"N",0.139287784172426,0.139287784172426
"0.1","1","10","97.5%","mean",1,"rda",0.167187583667286,0.499425223624067
"0.1","1","10","97.5%","mean",1,"S",0.462844084427453,0.761195023194759
"0.1","1","10","97.5%","mean",2,"jaccard",0.908585820052069,0.584855473759406
"0.1","1","10","97.5%","mean",2,"N",0.149625350313652,0.149625350313652
"0.1","1","10","97.5%","mean",2,"rda",0.484705552591301,0.278547668379336
"0.1","1","10","97.5%","mean",2,"S",0.747478098513667,0.559369665799841
"0.1","1","10","97.5%","var",1,"jaccard",0.00523514431116689,0.00572928214290883
"0.1","1","10","97.5%","var",1,"N",0.111091100241779,0.111091100241779
"0.1","1","10","97.5%","var",1,"rda",0.000361070305228075,0.00400047738505346
"0.1","1","10","97.5%","var",1,"S",0.00766736728134446,0.0154463270908804
"0.1","1","10","97.5%","var",2,"jaccard",0.00215091474819531,0.00759471021596918
"0.1","1","10","97.5%","var",2,"N",0.103181553989855,0.103181553989855
"0.1","1","10","97.5%","var",2,"rda",0.00138087813021746,0.00174669213112443
"0.1","1","10","97.5%","var",2,"S",0.0070874223945036,0.01372856098051
"0.1","1","10","mean","mean",1,"jaccard",0.00596110573318998,0.654889344428648
"0.1","1","10","mean","mean",1,"N",-0.0039886581091307,-0.0039886581091307
"0.1","1","10","mean","mean",1,"rda",0.0595510830898581,0.321077421718224
"0.1","1","10","mean","mean",1,"S",-0.00810605311559127,-0.0757558954092665
"0.1","1","10","mean","mean",2,"jaccard",0.843763562799648,0.230047064181307
"0.1","1","10","mean","mean",2,"N",0.00985411190642314,0.00985411190642314
"0.1","1","10","mean","mean",2,"rda",0.367540530323719,0.124679707215197
"0.1","1","10","mean","mean",2,"S",0.0315925831524068,0.0116722353516916
"0.1","1","10","mean","var",1,"jaccard",0.00126486807694971,0.00172693541230942
"0.1","1","10","mean","var",1,"N",0.0548784051635497,0.0548784051635497
"0.1","1","10","mean","var",1,"rda",0.000109342731739601,0.00144234451106598
"0.1","1","10","mean","var",1,"S",0.00307168777770605,0.00448410320774926
"0.1","1","10","mean","var",2,"jaccard",0.000528977784953753,0.00229864070043485
"0.1","1","10","mean","var",2,"N",0.0570963297468509,0.0570963297468509
"0.1","1","10","mean","var",2,"rda",0.000639151258287259,0.000596766881365807
"0.1","1","10","mean","var",2,"S",0.00236060750477852,0.00396831157750942
"0.1","1","10","var","mean",1,"jaccard",0.0194206924241539,0.0222358570165407
"0.1","1","10","var","mean",1,"N",0.00505321443588411,0.00505321443588411
"0.1","1","10","var","mean",1,"rda",0.00156133591901779,0.0105524466034985
