"o","mra","mrb","stat","summary","Beta_a","S_a","Stot_a","Beta_b","S_b","Stot_b","Cor_ab","N","Ntot"
"0.1","20","10","mean","var",0.000282107991442748,0.0715675,0,0.000513169459987008,0.0177961111111111,0,0.00687397127710547,0.271663888888889,108.665555555556
"0.1","20","10","var","mean",0.00624245481205539,1.48558972474747,0,0.00797783662055496,0.296314080808081,0,0.0651355934458084,0.0350582727272727,14.0233090909091
"0.1","20","10","var","var",2.03696766877904e-08,0.00105584228480796,0,1.16103950979953e-07,8.92398556553187e-05,0,2.39071134326667e-05,0.254403762634057,40704.6020214491
"0.1","20","20","2.5%","mean",1.23139935841124,19.553,30,1.13874151841536,6.521625,10,-0.112174072172875,94.83825,1896.765
"0.1","20","20","2.5%","var",7.16538525005837e-05,0.0222381944444444,0,0.000100810363177131,0.00445763888888887,0,0.00160559637418109,0.0678333333333335,27.1333333333333
"0.1","20","20","50%","mean",1.36913281605189,21.915,30,1.26336059131745,7.92,10,0.378923267435281,95.26,1905.2
"0.1","20","20","50%","var",0.000273508381416957,0.06625,0,0.000476856800249291,0.0155138888888889,0,0.00616790102779411,0.201125,80.45
"0.1","20","20","97.5%","mean",1.53454411900945,24.366125,30,1.53408893611117,8.78325,10,0.775242308975954,95.50525,1910.105
"0.1","20","20","97.5%","var",0.000606472205588583,0.144430555555556,0,0.00136090302911495,0.0350951388888889,0,0.0192896603794687,1.43924999999999,575.699999999994
"0.1","20","20","mean","mean",1.37233886142904,21.9386,30,1.28978446173367,7.80735,10,0.341067512351138,95.23745,1904.749
"0.1","20","20","mean","var",0.000289610863013022,0.0724061111111111,0,0.000504921877499559,0.0173219444444444,0,0.00702391204022086,0.2806825,112.273
"0.1","20","20","var","mean",0.0066226631837913,1.65088337373737,0,0.013091474813266,0.361710835858586,0,0.0592187254080326,0.037344189393939,14.9376757575758
"0.1","20","20","var","var",2.23130120042287e-08,0.00121140172995386,0,1.052553309712e-07,7.98489695566778e-05,0,2.36957913226841e-05,0.177832512941997,28453.2020707195
