"topo","envfilt","stat","summary","env","measure","time","cor_a","cor_b"
"many2many","all","50%","mean",1,"jaccard","T1000",0.5380689857144,0.528588320209939
"many2many","all","50%","mean",1,"jaccard","T2000",0.542526741078318,0.517269476237004
"many2many","all","50%","mean",1,"jaccard","T4000",0.531698054660702,0.478189744672787
"many2many","all","50%","mean",1,"jaccard","T8000",0.541537553732645,0.470323427129376
"many2many","all","50%","mean",1,"N","T1000",-0.0388694788905149,-0.0388694788905149
"many2many","all","50%","mean",1,"N","T2000",-0.042907732474823,-0.042907732474823
"many2many","all","50%","mean",1,"N","T4000",-0.0262284641913591,-0.0262284641913591
"many2many","all","50%","mean",1,"N","T8000",-0.0111990024262071,-0.0111990024262071
"many2many","all","50%","mean",1,"rda","T1000",0.159564067570163,0.165966939788257
"many2many","all","50%","mean",1,"rda","T2000",0.162256050025415,0.170214877864188
"many2many","all","50%","mean",1,"rda","T4000",0.164885444989014,0.171130126151198
"many2many","all","50%","mean",1,"rda","T8000",0.169643579049339,0.175929893669184
"many2many","all","50%","mean",1,"S","T1000",0.00128464078166714,0.0237088365502035
"many2many","all","50%","mean",1,"S","T2000",-0.00126567876853413,0.00783025947493805
"many2many","all","50%","mean",1,"S","T4000",-0.0102993769228905,0.00429905585804191
"many2many","all","50%","mean",1,"S","T8000",0.00194414041884347,0.00453181782075073
"many2many","all","50%","mean",2,"jaccard","T1000",0.600445996332072,0.561649253549732
"many2many","all","50%","mean",2,"jaccard","T2000",0.599874951894068,0.573669313571103
"many2many","all","50%","mean",2,"jaccard","T4000",0.604567177975344,0.575540306129069
"many2many","all","50%","mean",2,"jaccard","T8000",0.611992372145805,0.574600633476159
"many2many","all","50%","mean",2,"N","T1000",-0.0407701110790255,-0.0407701110790255
"many2many","all","50%","mean",2,"N","T2000",-2.30997692422944e-05,-2.30997692422944e-05
"many2many","all","50%","mean",2,"N","T4000",0.00766733612009098,0.00766733612009098
"many2many","all","50%","mean",2,"N","T8000",0.0334082023076741,0.0334082023076741
"many2many","all","50%","mean",2,"rda","T1000",0.156651649157907,0.172741765502642
"many2many","all","50%","mean",2,"rda","T2000",0.165058679118986,0.179338086867
"many2many","all","50%","mean",2,"rda","T4000",0.169108811286466,0.190345385766804
"many2many","all","50%","mean",2,"rda","T8000",0.173983834881138,0.197196616125426
"many2many","all","50%","mean",2,"S","T1000",-0.0364509329146688,-0.0728365571167675
"many2many","all","50%","mean",2,"S","T2000",-0.0314908842747067,-0.0565552158703342
"many2many","all","50%","mean",2,"S","T4000",-0.0174954251713422,-0.0495561827438105
"many2many","all","50%","mean",2,"S","T8000",-0.0232686078955755,-0.0468061765280049
"many2many","all","50%","var",1,"jaccard","T1000",0.00110672513773051,0.001457593310001
"many2many","all","50%","var",1,"jaccard","T2000",0.000940172197110976,0.0013644223163537
"many2many","all","50%","var",1,"jaccard","T4000",0.00100158896327938,0.00118651020197275
"many2many","all","50%","var",1,"jaccard","T8000",0.00100748632094392,0.00118956424772144
"many2many","all","50%","var",1,"N","T1000",0.0217860986496293,0.0217860986496293
"many2many","all","50%","var",1,"N","T2000",0.0217518638563201,0.0217518638563201
"many2many","all","50%","var",1,"N","T4000",0.0289770282234363,0.0289770282234363
"many2many","all","50%","var",1,"N","T8000",0.02711030771686,0.02711030771686
"many2many","all","50%","var",1,"rda","T1000",0.000307354455968075,0.000589984051755968
"many2many","all","50%","var",1,"rda","T2000",0.000243344584161322,0.000593843055152838
"many2many","all","50%","var",1,"rda","T4000",0.000277798619160441,0.000598654377664881
"many2many","all","50%","var",1,"rda","T8000",0.000285128265975805,0.000521578253542547
"many2many","all","50%","var",1,"S","T1000",0.0013090955835686,0.00196295947267615
"many2many","all","50%","var",1,"S","T2000",0.0013051762383516,0.00192268976663737
"many2many","all","50%","var",1,"S","T4000",0.00145830862685393,0.00180155901640952
"many2many","all","50%","var",1,"S","T8000",0.00168375815558892,0.00238623406027465
"many2many","all","50%","var",2,"jaccard","T1000",0.000928360101870584,0.0017700603663116
"many2many","all","50%","var",2,"jaccard","T2000",0.000967296598141459,0.00129565032424531
"many2many","all","50%","var",2,"jaccard","T4000",0.00101717159860864,0.00137897380968815
"many2many","all","50%","var",2,"jaccard","T8000",0.000841447902654943,0.00156519050482618
"many2many","all","50%","var",2,"N","T1000",0.0211359744628949,0.0211359744628949
"many2many","all","50%","var",2,"N","T2000",0.0272214977937661,0.0272214977937661
"many2many","all","50%","var",2,"N","T4000",0.0253126543179192,0.0253126543179192
"many2many","all","50%","var",2,"N","T8000",0.030556577264424,0.030556577264424
"many2many","all","50%","var",2,"rda","T1000",0.000277685917662233,0.00057792131816751
"many2many","all","50%","var",2,"rda","T2000",0.000294976582516751,0.000599357610522077
"many2many","all","50%","var",2,"rda","T4000",0.000283436306264876,0.000574635174487109
"many2many","all","50%","var",2,"rda","T8000",0.000270590573068274,0.000605054541784852
"many2many","all","50%","var",2,"S","T1000",0.001248473581472,0.00179210462052437
"many2many","all","50%","var",2,"S","T2000",0.00138334112477618,0.00208256912676077
"many2many","all","50%","var",2,"S","T4000",0.0015618979013176,0.00188887218947759
"many2many","all","50%","var",2,"S","T8000",0.00147156830302687,0.00244209903914459
"many2many","all","97.5%","mean",1,"jaccard","T1000",0.758296336275036,0.730526444587646
"many2many","all","97.5%","mean",1,"jaccard","T2000",0.768867258878278,0.718460172469316
"many2many","all","97.5%","mean",1,"jaccard","T4000",0.758149162292388,0.730135954194926
"many2many","all","97.5%","mean",1,"jaccard","T8000",0.757956319623004,0.719737880562645
"many2many","all","97.5%","mean",1,"N","T1000",0.59370978874367,0.59370978874367
"many2many","all","97.5%","mean",1,"N","T2000",0.593689282816293,0.593689282816293
"many2many","all","97.5%","mean",1,"N","T4000",0.582263508770757,0.582263508770757
"many2many","all","97.5%","mean",1,"N","T8000",0.570162612197558,0.570162612197558
"many2many","all","97.5%","mean",1,"rda","T1000",0.247094023115139,0.319459492720129
"many2many","all","97.5%","mean",1,"rda","T2000",0.260069824826727,0.327033994208204
"many2many","all","97.5%","mean",1,"rda","T4000",0.254984176034038,0.33959543464944
"many2many","all","97.5%","mean",1,"rda","T8000",0.261975611485946,0.354258413219749
"many2many","all","97.5%","mean",1,"S","T1000",0.55716558530072,0.621090849577424
"many2many","all","97.5%","mean",1,"S","T2000",0.548679037061407,0.628130957601901
"many2many","all","97.5%","mean",1,"S","T4000",0.551211181971155,0.625809820728099
"many2many","all","97.5%","mean",1,"S","T8000",0.551966238141529,0.624015668529236
"many2many","all","97.5%","mean",2,"jaccard","T1000",0.775407541802139,0.791345555138268
"many2many","all","97.5%","mean",2,"jaccard","T2000",0.7765996240763,0.791778892455875
"many2many","all","97.5%","mean",2,"jaccard","T4000",0.763610287475097,0.790610630293324
"many2many","all","97.5%","mean",2,"jaccard","T8000",0.77795465967962,0.782834013864628
"many2many","all","97.5%","mean",2,"N","T1000",0.660874419813888,0.660874419813888
"many2many","all","97.5%","mean",2,"N","T2000",0.673191153680341,0.673191153680341
"many2many","all","97.5%","mean",2,"N","T4000",0.653673153772868,0.653673153772868
"many2many","all","97.5%","mean",2,"N","T8000",0.599050379439465,0.599050379439465
"many2many","all","97.5%","mean",2,"rda","T1000",0.282475794560341,0.376401293345259
"many2many","all","97.5%","mean",2,"rda","T2000",0.270909960290096,0.367847970625346
"many2many","all","97.5%","mean",2,"rda","T4000",0.27645481632374,0.374106682221121
"many2many","all","97.5%","mean",2,"rda","T8000",0.290950499309083,0.385263715878113
"many2many","all","97.5%","mean",2,"S","T1000",0.51688392098775,0.494915046701489
"many2many","all","97.5%","mean",2,"S","T2000",0.512257768554181,0.497830464376599
"many2many","all","97.5%","mean",2,"S","T4000",0.529606440414398,0.521820149178248
"many2many","all","97.5%","mean",2,"S","T8000",0.532122862080845,0.523153897348037
"many2many","all","97.5%","var",1,"jaccard","T1000",0.00281925423322203,0.00433628557708976
"many2many","all","97.5%","var",1,"jaccard","T2000",0.00320167637354382,0.00408474887102655
"many2many","all","97.5%","var",1,"jaccard","T4000",0.00263403351102001,0.00504430608451658
"many2many","all","97.5%","var",1,"jaccard","T8000",0.00379310812602766,0.00459009716039986
"many2many","all","97.5%","var",1,"N","T1000",0.115055741475953,0.115055741475953
"many2many","all","97.5%","var",1,"N","T2000",0.12103906015718,0.12103906015718
"many2many","all","97.5%","var",1,"N","T4000",0.105092391027466,0.105092391027466
"many2many","all","97.5%","var",1,"N","T8000",0.101579997042504,0.101579997042504
"many2many","all","97.5%","var",1,"rda","T1000",0.00121744756093726,0.00362375248368433
"many2many","all","97.5%","var",1,"rda","T2000",0.000994446396559593,0.00221774034817477
"many2many","all","97.5%","var",1,"rda","T4000",0.000920534645351349,0.00233437083553686
"many2many","all","97.5%","var",1,"rda","T8000",0.000896126557440995,0.00243428749818155
"many2many","all","97.5%","var",1,"S","T1000",0.00461421963680815,0.00687601100078082
"many2many","all","97.5%","var",1,"S","T2000",0.00504068298668238,0.00607246930956104
"many2many","all","97.5%","var",1,"S","T4000",0.00441259635852726,0.00616891022819233
"many2many","all","97.5%","var",1,"S","T8000",0.00480104200922097,0.00857188559720236
"many2many","all","97.5%","var",2,"jaccard","T1000",0.003628646048403,0.00476276756289325
"many2many","all","97.5%","var",2,"jaccard","T2000",0.00276242748736582,0.00543047245454845
"many2many","all","97.5%","var",2,"jaccard","T4000",0.00274241341180172,0.00487570067477408
"many2many","all","97.5%","var",2,"jaccard","T8000",0.00397518036237357,0.00434681124285771
"many2many","all","97.5%","var",2,"N","T1000",0.104877841457677,0.104877841457677
"many2many","all","97.5%","var",2,"N","T2000",0.110855972686447,0.110855972686447
"many2many","all","97.5%","var",2,"N","T4000",0.138523128752948,0.138523128752948
"many2many","all","97.5%","var",2,"N","T8000",0.12566807623706,0.12566807623706
"many2many","all","97.5%","var",2,"rda","T1000",0.00125736307243868,0.00312400316621558
"many2many","all","97.5%","var",2,"rda","T2000",0.00112594189479572,0.00274460307110375
"many2many","all","97.5%","var",2,"rda","T4000",0.000907565623437431,0.0025240802922262
"many2many","all","97.5%","var",2,"rda","T8000",0.00088166053794994,0.00252475943684175
"many2many","all","97.5%","var",2,"S","T1000",0.00480353758164371,0.00524774834823204
"many2many","all","97.5%","var",2,"S","T2000",0.00472653641184203,0.00825857930786695
"many2many","all","97.5%","var",2,"S","T4000",0.00659922667865083,0.00805019678700264
"many2many","all","97.5%","var",2,"S","T8000",0.0045601700379804,0.00811950812109994
"many2many","all","mean","mean",1,"jaccard","T1000",0.53974244962906,0.482137000033291
"many2many","all","mean","mean",1,"jaccard","T2000",0.544415047996022,0.476013627247848
"many2many","all","mean","mean",1,"jaccard","T4000",0.534919065257263,0.467662506712267
"many2many","all","mean","mean",1,"jaccard","T8000",0.534446233642553,0.460937327707766
"many2many","all","mean","mean",1,"N","T1000",-0.0132849770837102,-0.0132849770837102
"many2many","all","mean","mean",1,"N","T2000",-0.0141707688762354,-0.0141707688762354
"many2many","all","mean","mean",1,"N","T4000",-0.00738822183278392,-0.00738822183278392
"many2many","all","mean","mean",1,"N","T8000",-0.00133058294651086,-0.00133058294651086
"many2many","all","mean","mean",1,"rda","T1000",0.159529973548539,0.175408831569852
"many2many","all","mean","mean",1,"rda","T2000",0.164736846692085,0.180716875938689
"many2many","all","mean","mean",1,"rda","T4000",0.167480928765941,0.181603331316676
"many2many","all","mean","mean",1,"rda","T8000",0.171407898941648,0.185019483570637
"many2many","all","mean","mean",1,"S","T1000",0.0231501076782494,0.00207766044515564
"many2many","all","mean","mean",1,"S","T2000",0.0226056964403524,-0.0033486332030276
"many2many","all","mean","mean",1,"S","T4000",0.0202471147474711,-0.00656908277939019
"many2many","all","mean","mean",1,"S","T8000",0.0205155326591005,-0.00672408733919472
"many2many","all","mean","mean",2,"jaccard","T1000",0.548115020551831,0.508785272791396
"many2many","all","mean","mean",2,"jaccard","T2000",0.559542663723391,0.517587819024377
"many2many","all","mean","mean",2,"jaccard","T4000",0.57402113861173,0.521558932610473
"many2many","all","mean","mean",2,"jaccard","T8000",0.586755023125542,0.530123285539163
"many2many","all","mean","mean",2,"N","T1000",-0.0140419857317984,-0.0140419857317984
"many2many","all","mean","mean",2,"N","T2000",0.00539887556089553,0.00539887556089553
"many2many","all","mean","mean",2,"N","T4000",0.0100654954801652,0.0100654954801652
"many2many","all","mean","mean",2,"N","T8000",0.0149765280103088,0.0149765280103088
"many2many","all","mean","mean",2,"rda","T1000",0.160461841783782,0.190231777400777
"many2many","all","mean","mean",2,"rda","T2000",0.166069052123288,0.195783972273792
"many2many","all","mean","mean",2,"rda","T4000",0.172001992770034,0.203100359061661
"many2many","all","mean","mean",2,"rda","T8000",0.176097626727786,0.209337118049168
"many2many","all","mean","mean",2,"S","T1000",-0.0143729458358211,-0.0228750751493753
"many2many","all","mean","mean",2,"S","T2000",-0.0148228572325511,-0.021553009222341
"many2many","all","mean","mean",2,"S","T4000",-0.015872181622944,-0.0204509962395781
"many2many","all","mean","mean",2,"S","T8000",-0.0123240421479608,-0.0155234590512131
"many2many","all","mean","var",1,"jaccard","T1000",0.00125844266846243,0.00170556417822386
"many2many","all","mean","var",1,"jaccard","T2000",0.0012289970044613,0.00162755819505836
"many2many","all","mean","var",1,"jaccard","T4000",0.00120967162658457,0.00157772445590344
"many2many","all","mean","var",1,"jaccard","T8000",0.00133664093668695,0.00160473209710717
"many2many","all","mean","var",1,"N","T1000",0.0307890678431633,0.0307890678431633
"many2many","all","mean","var",1,"N","T2000",0.032979083810437,0.032979083810437
"many2many","all","mean","var",1,"N","T4000",0.0330986757671727,0.0330986757671727
"many2many","all","mean","var",1,"N","T8000",0.034329187206411,0.034329187206411
"many2many","all","mean","var",1,"rda","T1000",0.000367491574719342,0.000882620411120906
"many2many","all","mean","var",1,"rda","T2000",0.000318039612118472,0.000763784472553234
"many2many","all","mean","var",1,"rda","T4000",0.000319256656408311,0.000806801830030932
"many2many","all","mean","var",1,"rda","T8000",0.000340185931805357,0.000701782127982332
"many2many","all","mean","var",1,"S","T1000",0.00159458530425369,0.00247531969882363
"many2many","all","mean","var",1,"S","T2000",0.00174812647514557,0.00237717476698422
"many2many","all","mean","var",1,"S","T4000",0.00173275094576524,0.00228935351472104
