"topo","envfilt","stat","summary","time","Beta_a","S_a","Stot_a","Beta_b","S_b","Stot_b","Cor_ab","N","Ntot"
"many2many","all","97.5%","var","T8000",0.005330963584703,0.17543125,0.523333333333333,0.00339539290536823,0.0443472222222222,0,0.00260411736805503,10.9866951388889,4394.67805555555
"many2many","all","mean","mean","T1000",2.1811423716196,13.89045,29.747,1.64612561135683,6.1879,10,0.931618430750858,88.38695,1767.739
"many2many","all","mean","mean","T2000",2.10538894571175,14.3798,29.794,1.57309012615864,6.4631,10,0.925470735216776,89.33865,1786.773
"many2many","all","mean","mean","T4000",2.05214408379494,14.7471,29.836,1.51498436584911,6.6952,10,0.918228863183547,90.20885,1804.177
"many2many","all","mean","mean","T8000",2.01149077176201,15.0332,29.85,1.46641732770343,6.90695,10,0.909677139156855,90.85685,1817.137
"many2many","all","mean","var","T1000",0.00298851810074854,0.0916352777777778,0.120555555555556,0.00148297506496264,0.0172177777777778,0,0.000401245866244513,4.83356138888889,1933.42455555556
"many2many","all","mean","var","T2000",0.0024694264737082,0.0901705555555555,0.126222222222222,0.0012652155058292,0.0171377777777778,0,0.000470246804953291,4.13022416666667,1652.08966666667
"many2many","all","mean","var","T4000",0.00205973622960829,0.0837294444444445,0.0964444444444444,0.000941468477303692,0.01585,0,0.000486315662720969,3.14948361111111,1259.79344444444
"many2many","all","mean","var","T8000",0.00199371421409084,0.0809016666666667,0.0953333333333333,0.000786938998827094,0.0151008333333333,0,0.000643624949714027,2.52571972222222,1010.28788888889
"many2many","all","var","mean","T1000",0.0936738041022017,3.29784297727273,0.147970707070707,0.0521550229277344,0.670012717171717,0,0.00162791206986884,31.3469060075757,12538.7624030303
"many2many","all","var","mean","T2000",0.0755684538427616,3.10925096969697,0.105014141414141,0.0426779060292392,0.657317565656566,0,0.00215404068526013,29.3019463914141,11720.7785565657
"many2many","all","var","mean","T4000",0.0632100531756152,2.91592433333333,0.0811151515151515,0.0336561860560259,0.609769656565657,0,0.00228487993161634,26.3482261893939,10539.2904757576
"many2many","all","var","mean","T8000",0.0548613737799327,2.77025884848485,0.0704040404040405,0.0283025926465266,0.583402472222222,0,0.00285407006034085,23.3441291186869,9337.65164747475
"many2many","all","var","var","T1000",5.33827340921051e-06,0.00133033432558611,0.023609864072827,2.08999157041822e-06,7.34912819553561e-05,0,1.95864351948883e-07,24.8068795820597,3969100.73312955
"many2many","all","var","var","T2000",3.41437260925033e-06,0.00206284362171093,0.0432211497692979,1.80687413451511e-06,8.0247941139793e-05,0,3.96484737312177e-07,24.7169245551698,3954707.92882717
"many2many","all","var","var","T4000",2.08422069531372e-06,0.00122759018612046,0.0244541214615289,6.03776001841153e-07,6.6816093029056e-05,0,4.1240020234336e-07,12.9079893988199,2065278.30381119
"many2many","all","var","var","T8000",2.11566348847096e-06,0.00165890127229081,0.0262131936650455,6.68333963487419e-07,8.43069063318368e-05,0,5.6245527090098e-07,10.5554523339739,1688872.37343583
"many2many","none","2.5%","mean","T1000",1.07594896884897,26.996875,30,1,9.90325,10,-0.0993775739620169,94.997125,1899.9425
"many2many","none","2.5%","mean","T2000",1.07399370042384,26.977375,30,1,9.912125,10,-0.0474669182385441,94.966875,1899.3375
"many2many","none","2.5%","mean","T4000",1.07478324340869,26.9035,30,1,9.922375,10,0.0349422854238547,94.9085,1898.17
"many2many","none","2.5%","mean","T8000",1.07437639767219,26.968,30,1,9.9245,10,0.00289939279188539,94.95,1899
"many2many","none","2.5%","var","T1000",4.55047980050432e-05,0.0301000000000002,0,0,0,0,0.0165094325791853,0.0528006944444446,21.1202777777778
"many2many","none","2.5%","var","T2000",5.09430313112926e-05,0.031888888888889,0,0,0,0,0.0530110833018383,0.0887444444444437,35.4977777777778
"many2many","none","2.5%","var","T4000",4.45401912094107e-05,0.0286090277777776,0,0,0,0,0.0426742897220206,0.0618472222222216,24.7388888888889
"many2many","none","2.5%","var","T8000",4.31480534512294e-05,0.0273277777777777,0,0,0,0,0.026008761307835,0.0878437499999995,35.1375
"many2many","none","50%","mean","T1000",1.09245122661023,27.465,30,1.00100502512563,9.99,10,-0.0169641585235012,95.2175,1904.35
"many2many","none","50%","mean","T2000",1.09247958339313,27.465,30,1.00100502512563,9.99,10,0.0678543591635573,95.2525,1905.05
"many2many","none","50%","mean","T4000",1.09304183908517,27.4475,30,1.00100502512563,9.99,10,0.120677461862544,95.225,1904.5
"many2many","none","50%","mean","T8000",1.09248179958926,27.4625,30,1.00100502512563,9.99,10,0.0153898780618579,95.185,1903.7
"many2many","none","50%","var","T1000",0.000142252422897529,0.0876805555555554,0,4.48922445841739e-06,0.000444444444444457,0,0.0170638523198274,0.201888888888889,80.7555555555556
"many2many","none","50%","var","T2000",0.000151267808422436,0.0944583333333333,0,4.48922445841739e-06,0.000444444444444457,0,0.0615488198187038,0.215166666666668,86.0666666666667
"many2many","none","50%","var","T4000",0.000123576138630777,0.0754166666666669,0,4.48922445841739e-06,0.000444444444444457,0,0.0596801209612367,0.218972222222222,87.5888888888889
"many2many","none","50%","var","T8000",0.000147216686549383,0.0920694444444443,0,4.48922445841739e-06,0.000444444444444457,0,0.0412821281363263,0.222555555555556,89.0222222222222
"many2many","none","97.5%","mean","T1000",1.11136738095383,27.886,30,1.00982943800008,10,10,0.156267147433762,95.513625,1910.2725
