"o","topo","envfilt","stat","summary","Beta_a","S_a","Stot_a","Beta_b","S_b","Stot_b","N","Ntot"
"0.5","many2many","same","var","mean",0.00656511780156519,1.34914873484849,0.000197979797979804,0.0060588019753839,0.304539454545455,0,0.267508191919192,107.003276767677
"0.5","many2many","same","var","var",1.01991756026622e-07,0.00250765664944195,0.000197979797979798,2.74531397075908e-08,2.92066121087418e-05,0,0.451914974019204,72306.3958430727
"0.5","one2many","all","2.5%","mean",1.46504802107131,14.7475,29.7475,1.32018520917698,4.606875,9.4425,91.50625,1830.125
"0.5","one2many","all","2.5%","var",0.000233858796846522,0.0226388888888889,0,0.000332612896936227,0.00704166666666666,0,0.0641027777777782,25.6411111111111
"0.5","one2many","all","50%","mean",1.73966001066783,17.2475,30,1.64871549029201,6.0675,10,95.155,1903.1
"0.5","one2many","all","50%","var",0.00063082730254167,0.0615277777777779,0,0.00153549554055867,0.0207361111111111,0,0.228513888888887,91.4055555555556
"0.5","one2many","all","97.5%","mean",2.03159734857258,20.38425,30,2.17117855200452,7.580125,10,95.447875,1908.9575
"0.5","one2many","all","97.5%","var",0.0016890945956171,0.125308333333333,0.177777777777778,0.00590051618865552,0.0411527777777777,0.177777777777778,5.59627708333333,2238.51083333333
"0.5","one2many","all","mean","mean",1.74967758834922,17.2569,29.979,1.68146541503787,6.0274,9.964,94.8498,1896.996
"0.5","one2many","all","mean","var",0.000728067188588801,0.0677855555555555,0.0112222222222222,0.00209542731218182,0.0206305555555556,0.0148888888888889,0.8263,330.52
"0.5","one2many","all","var","mean",0.0214948682911529,2.09681352525253,0.0105646464646464,0.0494665956419866,0.59952195959596,0.0215191919191919,1.07787874747475,431.151498989899
"0.5","one2many","all","var","var",1.56052882137784e-07,0.000919047700461404,0.00191419129567278,3.12790524714026e-06,7.31499329716922e-05,0.00274153884524255,2.51907377478489,403051.803965582
"0.5","one2many","none","2.5%","mean",1.03739669613698,28.665,30,1,9.867375,10,94.94875,1898.975
"0.5","one2many","none","2.5%","var",2.08690187600655e-05,0.0160055555555556,0,0,0,0,0.0802715277777768,32.1086111111111
"0.5","one2many","none","50%","mean",1.04173412932608,28.8,30,1.00505569688158,9.95,10,95.23,1904.6
"0.5","one2many","none","50%","var",6.37746662241587e-05,0.0485277777777778,0,2.17133797983536e-05,0.00211111111111112,0,0.21,84
"0.5","one2many","none","97.5%","mean",1.04665776362446,28.92025,30,1.01349427942376,10,10,95.51025,1910.205
"0.5","one2many","none","97.5%","var",0.000137341020616904,0.10510625,0,9.20601113874958e-05,0.00865277777777776,0,0.531822222222223,212.728888888889
"0.5","one2many","none","mean","mean",1.04182607043409,28.7974,30,1.00535134016224,9.94715,10,95.23155,1904.631
"0.5","one2many","none","mean","var",6.8897035501943e-05,0.0524283333333333,0,2.58639720151323e-05,0.00248583333333333,0,0.230271388888889,92.1085555555556
"0.5","one2many","none","var","mean",6.27861000617842e-06,0.00479064646464644,0,1.5669140613229e-05,0.00151224999999999,0,0.0231493409090907,9.25973636363637
"0.5","one2many","none","var","var",1.08491222543586e-09,0.000607633248846489,0,5.6498769666342e-10,5.01523717109362e-06,0,0.0142819183167322,2285.10693067714
"0.5","one2many","opposite","2.5%","mean",1.19951317717715,20.273625,30,1.11804786012862,6.5445,10,94.967125,1899.3425
"0.5","one2many","opposite","2.5%","var",7.07667793182376e-05,0.0232631944444444,0,0.0001017295816709,0.00455555555555556,0,0.0822277777777784,32.8911111111111
"0.5","one2many","opposite","50%","mean",1.31640722033921,22.79,30,1.23665890912565,8.0875,10,95.24,1904.8
"0.5","one2many","opposite","50%","var",0.000245977020100927,0.0670833333333334,0,0.000290256856356284,0.0115694444444444,0,0.216972222222223,86.7888888888889
"0.5","one2many","opposite","97.5%","mean",1.4799816627778,25.0165,30,1.52861674189026,8.9455,10,95.508125,1910.1625
"0.5","one2many","opposite","97.5%","var",0.000607058729089296,0.172464583333334,0,0.000958733910343662,0.0337243055555556,0,0.441639583333333,176.655833333333
"0.5","one2many","opposite","mean","mean",1.33356276063849,22.58515,30,1.25952315699588,7.9839,10,95.20275,1904.055
"0.5","one2many","opposite","mean","var",0.000278288800986534,0.0784191666666667,0,0.00035545755594607,0.0133933333333333,0,0.2787675,111.507
"0.5","one2many","opposite","var","mean",0.00685321681286311,1.96266134090909,0,0.00935363196045699,0.321789686868687,0,0.0886304924242424,35.4521969696971
"0.5","one2many","opposite","var","var",2.25527081011445e-08,0.00160044573972752,0,6.25927967576428e-08,5.82411572515277e-05,0,0.288983283119077,46237.3252990523
"0.5","one2many","same","2.5%","mean",1.19986761876423,19.22725,30,1.09696498050505,6.487875,10,94.574625,1891.4925
"0.5","one2many","same","2.5%","var",8.21755471682184e-05,0.0252388888888889,0,8.4732577578135e-05,0.00448402777777782,0,0.0786520833333334,31.4608333333333
"0.5","one2many","same","50%","mean",1.33170066935775,22.53,30,1.21531696395273,8.23,10,95.2025,1904.05
"0.5","one2many","same","50%","var",0.000260670491478071,0.0734027777777779,0,0.000280833352383735,0.0119444444444445,0,0.221055555555557,88.4222222222222
"0.5","one2many","same","97.5%","mean",1.56045811257435,25.00425,30,1.54223955477701,9.117,10,95.522625,1910.4525
"0.5","one2many","same","97.5%","var",0.000742166343731246,0.158891666666667,0,0.00146045844196549,0.0297083333333333,0,1.9154909722222,766.196388888881
"0.5","one2many","same","mean","mean",1.3500444611265,22.31935,29.999,1.24566835704809,8.0891,9.995,95.12985,1902.597
"0.5","one2many","same","mean","var",0.000292425833389351,0.0763641666666666,0.001,0.000390162233649128,0.0128477777777778,0.00366666666666667,0.346055277777778,138.422111111111
"0.5","one2many","same","var","mean",0.00816643379215235,2.09075285606061,0.000100000000000003,0.0136918801009773,0.478371909090909,0.00169191919191919,0.371814876262626,148.725950505051
"0.5","one2many","same","var","var",2.55227387449228e-08,0.0012132971364104,1e-04,1.71271864888552e-07,4.07237573263499e-05,0.000805723905723906,0.446673445060091,71467.7512096147
"0.5","one2one","all","2.5%","mean",1.58145086498578,13.162,29.8,1.91577750775911,8.97175,28.195,89.4595,1789.19
"0.5","one2one","all","2.5%","var",0.000253273090089622,0.0172645833333334,0,0.000678101526799476,0.0174305555555556,0,0.0854111111111109,34.1644444444444
"0.5","one2one","all","50%","mean",1.8020897939273,16.65,30,2.35615392252451,12.59,29.8,95.1475,1902.95
"0.5","one2one","all","50%","var",0.000733765919903254,0.0611805555555556,0,0.00269774891184545,0.0563055555555555,0.1,0.261611111111111,104.644444444444
"0.5","one2one","all","97.5%","mean",2.21834908257793,18.912,30,3.28138331595211,15.59025,30,95.38525,1907.705
"0.5","one2one","all","97.5%","var",0.00284761993944715,0.13490625,0.177777777777778,0.00984684074558187,0.139984027777778,0.677777777777778,8.06582777777775,3226.33111111111
"0.5","one2one","all","mean","mean",1.83052119234896,16.49585,29.97,2.4072521325047,12.52005,29.606,94.55415,1891.083
"0.5","one2one","all","mean","var",0.000910366694416193,0.0661097222222222,0.0148888888888889,0.00349157123642718,0.0599541666666667,0.191111111111111,0.910820277777777,364.328111111111
"0.5","one2one","all","var","mean",0.0264259239941489,1.8981126540404,0.0340404040404041,0.114820689777651,2.57465328030303,0.233094949494949,2.79476972474748,1117.90788989899
"0.5","one2one","all","var","var",5.04328851610124e-07,0.00100602860978613,0.00308572141164734,9.02553613326638e-06,0.000948480442932411,0.0447886270108492,3.84495820890159,615193.313424255
"0.5","one2one","none","2.5%","mean",1.03718697821909,28.642125,30,1.03728142929344,28.6395,30,94.956125,1899.1225
"0.5","one2one","none","2.5%","var",1.95166884448088e-05,0.0148388888888889,0,1.93898151983391e-05,0.014761111111111,0,0.0753381944444444,30.1352777777778
"0.5","one2one","none","50%","mean",1.0418987879026,28.795,30,1.0419439855431,28.795,30,95.2475,1904.95
"0.5","one2one","none","50%","var",6.33508098022006e-05,0.048625,0,6.34396533505037e-05,0.0489583333333333,0,0.236111111111112,94.4444444444444
"0.5","one2one","none","97.5%","mean",1.04746780261178,28.92525,30,1.04756225368612,28.922625,30,95.472625,1909.4525
"0.5","one2one","none","97.5%","var",0.000132772908865742,0.101138888888889,0,0.000134888136373206,0.102728472222222,0,0.465916666666665,186.366666666667
"0.5","one2one","none","mean","mean",1.04191064553973,28.79505,30,1.0419506668112,28.79395,30,95.23195,1904.639
"0.5","one2one","none","mean","var",6.75451617215675e-05,0.0515230555555556,0,6.77224622407748e-05,0.0516475,0,0.239554166666667,95.8216666666667
"0.5","one2one","none","var","mean",6.96375496400525e-06,0.00530530050505052,0,7.03882705147918e-06,0.00536176515151517,0,0.0208464116161616,8.33856464646461
"0.5","one2one","none","var","var",9.84969572918618e-10,0.000572098781877417,0,1.00829249961581e-09,0.000585577872786508,0,0.0106610205663892,1705.76329062227
"0.5","one2one","opposite","2.5%","mean",1.23176235584298,19.710875,30,1.38638040247941,16.628125,30,94.8445,1896.89
"0.5","one2one","opposite","2.5%","var",0.000103707273066973,0.0304305555555557,0,0.000149575478191895,0.0251166666666667,0,0.079111111111111,31.6444444444444
"0.5","one2one","opposite","50%","mean",1.33184812707678,22.5275,30,1.56716444247313,19.1475,30,95.2425,1904.85
"0.5","one2one","opposite","50%","var",0.000294664422488807,0.0792361111111113,0,0.000506392804398742,0.0772499999999998,0,0.202013888888888,80.8055555555556
"0.5","one2one","opposite","97.5%","mean",1.5223736316712,24.359625,30,1.80460926967201,21.64175,30,95.493125,1909.8625
"0.5","one2one","opposite","97.5%","var",0.000596112956207366,0.166604861111111,0,0.00137157203733502,0.193027777777778,0,0.466708333333333,186.683333333333
"0.5","one2one","opposite","mean","mean",1.34640421869197,22.34775,29.999,1.57903678010395,19.0913,29.999,95.1976,1903.952
"0.5","one2one","opposite","mean","var",0.000304396150145954,0.0822369444444445,0.001,0.000572758738656107,0.0816588888888889,0.001,0.317343888888889,126.937555555556
"0.5","one2one","opposite","var","mean",0.00542330157662322,1.38775170454545,0.000100000000000003,0.0122814800999562,1.67146596969697,0.000100000000000003,0.0540603434343434,21.6241373737374
"0.5","one2one","opposite","var","var",1.7926101186587e-08,0.00103912118803778,1e-04,1.00248712229529e-07,0.00187202809078439,1e-04,0.537674270572704,86027.8832916324
"0.5","one2one","same","2.5%","mean",1.23167119298708,19.989875,30,1.34818937316229,17.011625,29.3475,94.934,1898.68
"0.5","one2one","same","2.5%","var",9.31399606501208e-05,0.0255881944444444,0,0.00017231985797525,0.0205,0,0.072263888888888,28.9055555555556
"0.5","one2one","same","50%","mean",1.3538303250127,22.1625,30,1.54068739359039,19.475,30,95.23,1904.6
"0.5","one2one","same","50%","var",0.000287452115404768,0.0797361111111111,0,0.000411860705407267,0.0707361111111113,0,0.195361111111112,78.1444444444444
"0.5","one2one","same","97.5%","mean",1.50090129580248,24.36175,30,1.76390440534039,22.25825,30,95.501,1910.02
"0.5","one2one","same","97.5%","var",0.000659609013337952,0.155725,0,0.00133657419963381,0.169480555555556,0.250833333333333,0.500205555555556,200.082222222222
"0.5","one2one","same","mean","mean",1.35344340518758,22.2256,29.999,1.53182831901224,19.65335,29.949,95.1979,1903.958
"0.5","one2one","same","mean","var",0.000313913102373394,0.0836816666666666,0.001,0.000558485493327955,0.0782963888888889,0.0272222222222222,0.275058333333333,110.023333333333
"0.5","one2one","same","var","mean",0.00483926657849375,1.27536983838384,0.000100000000000003,0.0118871098881336,1.99364093686869,0.026160606060606,0.160730393939394,64.2921575757575
"0.5","one2one","same","var","var",2.24130287918494e-08,0.00129990382871929,1e-04,2.12630715400365e-07,0.00162868139816374,0.00586700336700337,0.231892125179262,37102.7400286819
"0.9","many2many","all","2.5%","mean",1.66196394770775,11.868375,29.3475,1.27621981975013,4.86825,10,90.377125,1807.5425
"0.9","many2many","all","2.5%","var",0.000464901901075469,0.022825,0,0.000219652758146988,0.00388333333333336,0,0.0719333333333341,28.7733333333333
"0.9","many2many","all","50%","mean",2.05280396813987,14.4875,30,1.5947766890916,6.2725,10,95.015,1900.3
"0.9","many2many","all","50%","var",0.00135905048758406,0.0789583333333334,0,0.000916232110059716,0.0153472222222222,0,0.252222222222222,100.888888888889
"0.9","many2many","all","97.5%","mean",2.52445214136013,18.05475,30,2.05536542307292,7.838625,10,95.41525,1908.305
"0.9","many2many","all","97.5%","var",0.00483324649144094,0.202152777777778,0.2725,0.0037665320192003,0.0320972222222222,0,4.75886319444444,1903.54527777777
"0.9","many2many","all","mean","mean",2.03480591754376,14.8656,29.902,1.60149848890582,6.3435,9.995,94.3252,1886.504
"0.9","many2many","all","mean","var",0.00182793455917392,0.0856055555555555,0.0675555555555556,0.00125425325650121,0.0160338888888889,0.00277777777777778,0.796211111111111,318.484444444444
"0.9","many2many","all","var","mean",0.0470944615925592,2.51738044444444,0.0339353535353535,0.0420792781707419,0.639123484848485,0.0025,2.51772218181818,1007.08887272727
"0.9","many2many","all","var","var",1.63584558926211e-06,0.00225669388327721,0.0112774161366754,1.83917250479882e-06,5.28291647961092e-05,0.000771604938271605,1.59521636912333,255234.619059733
"0.9","many2many","none","2.5%","mean",1.07708790425644,26.98475,30,1,9.907375,10,94.962375,1899.2475
"0.9","many2many","none","2.5%","var",5.02434321727336e-05,0.0313618055555556,0,0,0,0,0.0827076388888891,33.0830555555556
"0.9","many2many","none","50%","mean",1.09415970458412,27.4225,30,1.00100502512563,9.99,10,95.23,1904.6
"0.9","many2many","none","50%","var",0.000135499579209463,0.0828472222222222,0,4.48922445841739e-06,0.000444444444444457,0,0.221722222222223,88.6888888888889
"0.9","many2many","none","97.5%","mean",1.11185909417318,27.8555,30,1.00938396945871,10,10,95.52025,1910.405
"0.9","many2many","none","97.5%","var",0.000300024215058427,0.189458333333333,0,4.77991310595696e-05,0.00460347222222219,0,0.47926111111111,191.704444444444
"0.9","many2many","none","mean","mean",1.09397802672355,27.4282,30,1.00212130961844,9.97905,10,95.2458,1904.916
"0.9","many2many","none","mean","var",0.000145683176860439,0.0912694444444444,0,9.94024545576641e-06,0.000956388888888893,0,0.245679444444444,98.2717777777778
"0.9","many2many","none","var","mean",0.000103551582081542,0.0649467272727272,0,1.3549060787222e-05,0.00129075505050505,0,0.0236523838383838,9.46095353535352
"0.9","many2many","none","var","var",4.71869000785888e-09,0.00181660017614416,0,3.01380974874834e-10,2.55001021012593e-06,0,0.0116133574077192,1858.13718523507
"0.9","many2many","opposite","2.5%","mean",1.30820867333983,17.51875,30,1.06584048876365,7.080125,10,94.95,1899
