"o","topo","envfilt","stat","summary","env","measure","cor_a","cor_b"
"0.5","many2many","all","50%","mean",1,"S",-0.00654800063217281,-0.0252098512856929
"0.5","many2many","all","97.5%","mean",1,"S",0.628058478030108,0.594286041400799
"0.5","many2many","all","mean","mean",1,"S",-0.000203738043235782,-0.0205014828721978
"0.5","many2many","all","var","mean",1,"S",0.113592521546547,0.142508807797461
"0.5","many2many","all","2.5%","var",1,"S",0.000432042603274507,0.00077719002626832
"0.5","many2many","all","50%","var",1,"S",0.00168732977659871,0.010794150535092
"0.5","many2many","all","97.5%","var",1,"S",0.00459265975683388,0.0766815235486452
"0.5","many2many","all","mean","var",1,"S",0.00194972152903103,0.0180809579984272
"0.5","many2many","all","var","var",1,"S",1.28043641522162e-06,0.000422844753635913
"0.5","many2many","all","2.5%","mean",2,"jaccard",0.285014428325705,0.0317775280748166
"0.5","many2many","all","50%","mean",2,"jaccard",0.617035535995954,0.354761841753742
"0.5","many2many","all","97.5%","mean",2,"jaccard",0.779483333118552,0.759145341048899
"0.5","many2many","all","mean","mean",2,"jaccard",0.600486919107157,0.36221044837139
"0.5","many2many","all","var","mean",2,"jaccard",0.0165184007709806,0.0484612251473471
"0.5","many2many","all","2.5%","var",2,"jaccard",0.000234903966476601,0.000323728704340169
"0.5","many2many","all","50%","var",2,"jaccard",0.000905464293374343,0.00451972952656235
"0.5","many2many","all","97.5%","var",2,"jaccard",0.00335749966543197,0.0340679763264449
"0.5","many2many","all","mean","var",2,"jaccard",0.00109762126998738,0.00715144958511621
"0.5","many2many","all","var","var",2,"jaccard",5.85656989467571e-07,7.87321736649958e-05
"0.5","many2many","all","2.5%","mean",2,"N",-0.373237130244091,-0.373237130244091
"0.5","many2many","all","50%","mean",2,"N",0.0179044600243005,0.0179044600243005
"0.5","many2many","all","97.5%","mean",2,"N",0.411320511053684,0.411320511053684
"0.5","many2many","all","mean","mean",2,"N",0.0158120409971566,0.0158120409971566
"0.5","many2many","all","var","mean",2,"N",0.0267613907435432,0.0267613907435432
"0.5","many2many","all","2.5%","var",2,"N",0.000469323652507303,0.000469323652507303
"0.5","many2many","all","50%","var",2,"N",0.0494403721528054,0.0494403721528054
"0.5","many2many","all","97.5%","var",2,"N",0.128226491212322,0.128226491212322
"0.5","many2many","all","mean","var",2,"N",0.0534849216658975,0.0534849216658975
"0.5","many2many","all","var","var",2,"N",0.00086270839919871,0.00086270839919871
"0.5","many2many","all","2.5%","mean",2,"rda",0.138914648887454,0.0612880012479315
"0.5","many2many","all","50%","mean",2,"rda",0.221164488174825,0.185090104897446
"0.5","many2many","all","97.5%","mean",2,"rda",0.319429909922638,0.366664010900234
"0.5","many2many","all","mean","mean",2,"rda",0.216690503831263,0.186033504938575
"0.5","many2many","all","var","mean",2,"rda",0.00269305172050465,0.0091072502882948
"0.5","many2many","all","2.5%","var",2,"rda",9.99521854675861e-05,0.00021476235906621
"0.5","many2many","all","50%","var",2,"rda",0.000344017631647257,0.00203203594281566
"0.5","many2many","all","97.5%","var",2,"rda",0.000897062305815945,0.00815657281193786
"0.5","many2many","all","mean","var",2,"rda",0.00037789487296653,0.00260292165938734
"0.5","many2many","all","var","var",2,"rda",4.73878457996468e-08,5.24349247671364e-06
"0.5","many2many","all","2.5%","mean",2,"S",-0.581218108705034,-0.631305033114968
"0.5","many2many","all","50%","mean",2,"S",-0.00183353624931508,0.0650299704175864
"0.5","many2many","all","97.5%","mean",2,"S",0.653804066494355,0.694223775733855
"0.5","many2many","all","mean","mean",2,"S",0.0370385078240283,0.0559298252209948
"0.5","many2many","all","var","mean",2,"S",0.115295921313694,0.163366131203563
"0.5","many2many","all","2.5%","var",2,"S",0.00036122807325636,0.000715789013258171
"0.5","many2many","all","50%","var",2,"S",0.00167271396955,0.0113493390557291
"0.5","many2many","all","97.5%","var",2,"S",0.00762377382941959,0.0570754190008542
"0.5","many2many","all","mean","var",2,"S",0.00208735670018733,0.0167292765834859
"0.5","many2many","all","var","var",2,"S",3.12905245144838e-06,0.000294205321323188
"0.5","many2many","none","2.5%","mean",1,"jaccard",-0.0706773475030339,-0.0279963266827705
"0.5","many2many","none","50%","mean",1,"jaccard",-5.98950257989393e-05,-0.00642525051752776
"0.5","many2many","none","97.5%","mean",1,"jaccard",0.091315400849291,0.0793649239885499
"0.5","many2many","none","mean","mean",1,"jaccard",0.00352084097217356,0.0161077664441687
"0.5","many2many","none","var","mean",1,"jaccard",0.00174227311662495,0.00357372179398339
"0.5","many2many","none","2.5%","var",1,"jaccard",0.00490867841413019,0.00552475025874036
"0.5","many2many","none","50%","var",1,"jaccard",0.0157600014555341,0.0160918621710924
"0.5","many2many","none","97.5%","var",1,"jaccard",0.038756749578796,0.0188980353022006
"0.5","many2many","none","mean","var",1,"jaccard",0.017640303781164,0.0133687257566209
"0.5","many2many","none","var","var",1,"jaccard",8.49791271539667e-05,5.51030867338066e-05
"0.5","many2many","none","2.5%","mean",1,"N",-0.133768859612516,-0.133768859612516
"0.5","many2many","none","50%","mean",1,"N",0.00741658612382042,0.00741658612382042
"0.5","many2many","none","97.5%","mean",1,"N",0.143047606624216,0.143047606624216
"0.5","many2many","none","mean","mean",1,"N",0.00297254439242469,0.00297254439242469
"0.5","many2many","none","var","mean",1,"N",0.00534160104165986,0.00534160104165986
"0.5","many2many","none","2.5%","var",1,"N",0.0161548621386844,0.0161548621386844
"0.5","many2many","none","50%","var",1,"N",0.0527661264035476,0.0527661264035476
"0.5","many2many","none","97.5%","var",1,"N",0.0929545919859447,0.0929545919859447
"0.5","many2many","none","mean","var",1,"N",0.0525856339443472,0.0525856339443472
"0.5","many2many","none","var","var",1,"N",0.000482516058344522,0.000482516058344522
"0.5","many2many","none","2.5%","mean",1,"rda",0.0431156798178988,0.0392320597282639
"0.5","many2many","none","50%","mean",1,"rda",0.0545822712658572,0.0490467572367755
"0.5","many2many","none","97.5%","mean",1,"rda",0.0639225820559936,0.0579345313547098
"0.5","many2many","none","mean","mean",1,"rda",0.0536261661904351,0.04872152095938
"0.5","many2many","none","var","mean",1,"rda",3.25960381954018e-05,9.69719780042516e-05
"0.5","many2many","none","2.5%","var",1,"rda",0.00010961413620349,0.00179644329805145
"0.5","many2many","none","50%","var",1,"rda",0.0002997727956424,0.00320881772033702
"0.5","many2many","none","97.5%","var",1,"rda",0.000746123995558221,0.00656127680006767
"0.5","many2many","none","mean","var",1,"rda",0.000366331952659641,0.00388954917908968
"0.5","many2many","none","var","var",1,"rda",5.54251147744653e-08,6.63664297173244e-06
"0.5","many2many","none","2.5%","mean",1,"S",-0.161996228065675,-0.117303898362341
"0.5","many2many","none","50%","mean",1,"S",-0.00390423178226465,-0.0392284820059024
"0.5","many2many","none","97.5%","mean",1,"S",0.150865606473682,0.0655807540685442
"0.5","many2many","none","mean","mean",1,"S",-0.00800947338773951,-0.0298481943855487
"0.5","many2many","none","var","mean",1,"S",0.00628512842636213,0.00933103281634459
"0.5","many2many","none","2.5%","var",1,"S",0.0181436750564337,0.0367936861067869
"0.5","many2many","none","50%","var",1,"S",0.0483188175100161,0.0374007878624964
"0.5","many2many","none","97.5%","var",1,"S",0.116112158931935,0.0660371544883792
"0.5","many2many","none","mean","var",1,"S",0.0547319333914166,0.0472356176415046
"0.5","many2many","none","var","var",1,"S",0.000723438006489543,0.00030943499705613
"0.5","many2many","none","2.5%","mean",2,"jaccard",-0.0768944461095412,-0.105360692670124
"0.5","many2many","none","50%","mean",2,"jaccard",0.00420937260185433,-0.0340144368012064
"0.5","many2many","none","97.5%","mean",2,"jaccard",0.0917904830477554,0.0153602427384738
"0.5","many2many","none","mean","mean",2,"jaccard",0.00394973633992753,-0.0417237618290089
"0.5","many2many","none","var","mean",2,"jaccard",0.00195027360388422,0.00408156813519591
"0.5","many2many","none","2.5%","var",2,"jaccard",0.00530945445326439,0.00479801798699068
"0.5","many2many","none","50%","var",2,"jaccard",0.0149714165062986,0.00602428126231491
"0.5","many2many","none","97.5%","var",2,"jaccard",0.0324382121297748,0.00623497135499428
"0.5","many2many","none","mean","var",2,"jaccard",0.0160602633916401,0.00566793979472023
"0.5","many2many","none","var","var",2,"jaccard",6.07183510001958e-05,6.67210880402408e-07
"0.5","many2many","none","2.5%","mean",2,"N",-0.128037341836623,-0.128037341836623
